Pair ID,Explanation
pair_161,"'L' is cheaper plan than and is shorter plan than and is slower plan than 'T'. 
"
pair_162,"'M' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'N'. 
"
pair_163,"'M' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'O'. 
"
pair_164,"'M' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'P'. 
"
pair_165,"'M' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'Q'. 
"
pair_166,"'M' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'R'. 
"
pair_167,"'M' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'S'. 
"
pair_168,"'M' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'T'. 
"
pair_169,"'N' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'O'. 
"
pair_170,"'N' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'P'. 
"
pair_171,"'N' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'Q'. 
"
pair_172,"'N' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'R'. 
"
pair_173,"'N' is cheaper plan than and is longer plan than and is faster plan than 'S'. 
"
pair_174,"'N' is more expensive plan than and is shorter plan than and is slower plan than 'T'. 
"
pair_175,"'O' is cheaper plan than and is shorter plan than and is slower plan than 'P'. 
"
pair_176,"'O' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'Q'. 
"
pair_177,"'O' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'R'. 
"
pair_178,"'O' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'S'. 
"
pair_179,"'O' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'T'. 
"
pair_180,"'P' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'Q'. 
"
pair_181,"'P' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'R'. 
"
pair_182,"'P' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'S'. 
"
pair_183,"'P' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'T'. 
"
pair_184,"'Q' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'R'. 
"
pair_185,"'Q' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'S'. 
"
pair_186,"'Q' is more expensive plan than and is longer plan than and is slower plan than and is worse plan than 'T'. 
"
pair_187,"'R' is cheaper plan than and is shorter plan than and is faster plan than and is better plan than 'S'. 
"
pair_188,"'R' is more expensive plan than and is shorter plan than and is slower plan than 'T'. 
"
pair_189,"'S' is more expensive plan than and is shorter plan than and is slower plan than 'T'. 
"
